model,fpl_col,post_col,outcome,coef,se_hc1,t_hc1,se_person_cluster,t_person_cluster,se_state_cluster,t_state_cluster,n_person_months,n_persons,n_person_clusters,n_state_clusters,weighted_mean
younger_age26_49,monthly_fpl,post_year2021,source_bought_direct,0.007734001519980216,0.006353419428279078,1.2172974895307818,0.012360425120666563,0.6257067572092652,0.009583622877149003,0.8070018633998018,132268,15063,15043,52,0.051526593776117804
younger_age26_49,monthly_fpl,post_year2021,direct_purchase,0.03404508855547217,0.00838053116544108,4.06240223720716,0.016382459442923308,2.078142703425312,0.014940138352974908,2.27876661856301,132268,15063,15043,52,0.09225869922134367
younger_age26_49,monthly_fpl,post_year2021,marketplace_flag,0.030924832264347057,0.007667378612994032,4.033299231100736,0.015027185532665034,2.057925763751625,0.014090504714997306,2.1947284990744187,132268,15063,15043,52,0.07191355690970398
younger_age26_49,monthly_fpl,post_year2021,subsidized_private,-4.4893114418353974e-05,0.005140162866771375,-0.00873379221280436,0.009980698147530108,-0.004497993402341653,0.007634273743179839,-0.005880469567712282,132268,15063,15043,52,0.029768744405240327
younger_age26_49,monthly_fpl,post_year2021,market_or_subsidy,0.03469746913786309,0.008407814254756256,4.126812044906311,0.01641965397094203,2.113166891291828,0.01550711702496506,2.2375190102714315,132268,15063,15043,52,0.09304168958161044
younger_age26_49,monthly_fpl,post_year2021,public,0.015346310559633092,0.008326833321816687,1.8429948056513934,0.016822689119367296,0.9122388490176337,0.02062438839536268,0.7440856070710758,132268,15063,15043,52,0.09155956823364349
younger_age26_49,monthly_fpl,post_year2021,medicaid,0.022751160602686338,0.007892326271006788,2.8826938752221754,0.01593835430966828,1.4274472860027574,0.018000147501275345,1.2639430094155826,132268,15063,15043,52,0.07812411048850448
pre_nonemployer_baseline,monthly_fpl,post_year2021,uninsured,-0.07336989751879286,0.03706187551779031,-1.9796595961144519,0.055339621115509635,-1.3258113452863884,0.04769115978924656,-1.5384381055739467,45417,4203,4203,52,0.28261266145696906
pre_nonemployer_baseline,monthly_fpl,post_year2021,any_coverage,0.07336989751886147,0.03706187551778218,1.9796595961167376,0.05533962111550626,1.3258113452877092,0.047691159789249794,1.538438105575281,45417,4203,4203,52,0.7173873385430309
pre_nonemployer_baseline,monthly_fpl,post_year2021,private,-0.005510091337267653,0.04636450782349545,-0.11884287348080909,0.07406956249395896,-0.07439076392164529,0.07243005225036407,-0.07607465639015822,45417,4203,4203,52,0.5658165681468527
pre_nonemployer_baseline,monthly_fpl,post_year2021,rpritype1_employer,-0.01811203628390745,0.03225311747217103,-0.561559244607442,0.05071753722542504,-0.3571158473922856,0.060870867233781385,-0.29754851716414926,45417,4203,4203,52,0.0594309281279928
pre_nonemployer_baseline,monthly_fpl,post_year2021,source_employer_related,-0.03613872508257815,0.032449672249757186,-1.1136853649684726,0.053959757909279794,-0.6697347520227319,0.057290551312087774,-0.6307972999895571,45417,4203,4203,52,0.014298690475308854
pre_nonemployer_baseline,monthly_fpl,post_year2021,source_current_employer,-0.0414517798428537,0.03227126171254046,-1.2844796776800869,0.05389363128766659,-0.7691405988510525,0.05707397082869019,-0.7262816874486073,45417,4203,4203,52,0.013918132043460471
pre_nonemployer_baseline,monthly_fpl,post_year2021,source_former_employer,0.006980105841427598,0.0034979662417762756,1.9954754731661115,0.006110251606441072,1.1423598062753384,0.006204341158800032,1.1250357874868386,45417,4203,4203,52,0.00016703055373996914
pre_nonemployer_baseline,monthly_fpl,post_year2021,source_union,-0.0016670510811523376,0.0009568338603745208,-1.7422576166982906,0.0017125944979880636,-0.9734067714866363,0.0015107534202056106,-1.1034567645893234,45417,4203,4203,52,0.00021352787810841395
pre_nonemployer_baseline,monthly_fpl,post_year2021,source_bought_direct,0.03365626480384798,0.029342116431178813,1.1470292159322553,0.04328191428535842,0.7776057357803454,0.04162659635960233,0.8085279063678293,45417,4203,4203,52,0.15241053932835782
pre_nonemployer_baseline,monthly_fpl,post_year2021,direct_purchase,0.11864488925929884,0.04065115287133317,2.918610688233793,0.07238047257970362,1.6391836780099767,0.08035760137244195,1.476461308363383,45417,4203,4203,52,0.23906955935506796
pre_nonemployer_baseline,monthly_fpl,post_year2021,marketplace_flag,0.09131684217095293,0.039356284406825065,2.3202607549791208,0.06844758155018985,1.3341134939003503,0.06950419435744029,1.313832107762251,45417,4203,4203,52,0.17097295899834825
pre_nonemployer_baseline,monthly_fpl,post_year2021,subsidized_private,0.016493827598779043,0.025413053929146244,0.6490297327021474,0.03780497606825437,0.4362872117416642,0.0268297587609146,0.6147586993144021,45417,4203,4203,52,0.07823520883283677
pre_nonemployer_baseline,monthly_fpl,post_year2021,market_or_subsidy,0.12090052775571825,0.04066195641564637,2.9733081832038155,0.07238330425467468,1.6702819662713893,0.08008614210151646,1.5096310620439906,45417,4203,4203,52,0.2411138927799393
pre_nonemployer_baseline,monthly_fpl,post_year2021,public,0.050125720619180525,0.03752705092305454,1.3357223492450365,0.06559340732122018,0.7641883943260912,0.0728351507094513,0.68820782453157,45417,4203,4203,52,0.1710690711746063
pre_nonemployer_baseline,monthly_fpl,post_year2021,medicaid,0.04557206863292507,0.033518991864361906,1.3595894774322925,0.0633495100347927,0.7193752344397938,0.07489147490911006,0.6085080937213793,45417,4203,4203,52,0.14255172862771934
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,uninsured,-0.03742180062937317,0.08222196213875602,-0.4551314473159974,0.11107369413168744,-0.33690966094101815,0.08390381123870803,-0.4460083526230697,25303,2473,2473,52,0.5011362638457245
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,any_coverage,0.03742180062801026,0.08222196213892723,0.4551314472984737,0.11107369413192894,0.3369096609280153,0.08390381123882663,0.44600835260619554,25303,2473,2473,52,0.49886373615427543
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,private,0.020350684463130264,0.08838193058599872,0.2302584287104742,0.12058374304066634,0.1687680606851546,0.09949933142038322,0.2045308664150608,25303,2473,2473,52,0.36701048240302825
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,rpritype1_employer,-0.004350322888522884,0.07593271010274776,-0.05729181643373822,0.11099558038017322,-0.03919365864498842,0.11290021214220484,-0.03853245982428608,25303,2473,2473,52,0.032759078324176
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,source_employer_related,-0.0118251366829345,0.07764088548184445,-0.15230553605290464,0.1129394260896584,-0.10470335375661433,0.1127094714069254,-0.10491697401579606,25303,2473,2473,52,0.02489443663068675
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,source_current_employer,-0.032029128570757015,0.077005943146064,-0.4159306056417558,0.11230700934186483,-0.28519260514951206,0.10976148170321401,-0.2918066344745704,25303,2473,2473,52,0.024215239641939664
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,source_former_employer,0.022512942719931723,0.011692161384507226,1.9254731421824747,0.020285851444331413,1.1097854473455013,0.01999822022883483,1.1257473146270782,25303,2473,2473,52,0.0002981057299871962
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,source_union,-0.0023089508321091773,0.003050646165257066,-0.7568727105769119,0.003077543949551257,-0.7502576307467032,0.002645394417810238,-0.8728191216266509,25303,2473,2473,52,0.00038109125875988696
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,source_bought_direct,0.03701114937943839,0.06768010475311972,0.5468541976175407,0.07924340291247971,0.46705653744218073,0.07705792873325623,0.48030293556885245,25303,2473,2473,52,0.2714733621145952
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,direct_purchase,0.05311728903827562,0.07657981985032276,0.6936199267913497,0.08828328993304302,0.6016686632154458,0.08612788368680482,0.6167258124143764,25303,2473,2473,52,0.42102693982267253
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,marketplace_flag,0.0210995978546904,0.07433765794077919,0.28383457912407345,0.08499068726925557,0.24825776249867956,0.08127026057272878,0.2596226184830349,25303,2473,2473,52,0.3000821316793563
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,subsidized_private,0.02207790273357152,0.05911097317763628,0.3734992260612003,0.06782757215721878,0.32550041275835057,0.04025904303915703,0.5483961134420894,25303,2473,2473,52,0.13896721888231214
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,market_or_subsidy,0.05534627383728252,0.07666615493199165,0.7219127382399524,0.08877960801052923,0.6234120095542489,0.08529736434245802,0.6488626496719676,25303,2473,2473,52,0.42467553880239717
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,public,-0.024859314579940395,0.04968818489860794,-0.5003063531233327,0.060819516448234814,-0.40873910270396263,0.05808672359077057,-0.42796895819220043,25303,2473,2473,52,0.15177456702229178
pre_nongroup_uninsured_baseline,monthly_fpl,post_year2021,medicaid,-0.015898204953762707,0.04946456954116455,-0.32140590934552005,0.060107739932001386,-0.2644951377600956,0.05614502696984276,-0.2831631902555168,25303,2473,2473,52,0.14867859521923732
pre_current_employer_baseline,monthly_fpl,post_year2021,uninsured,-0.011484020961916936,0.0056267385709640105,-2.0409729041222215,0.010357977614867939,-1.108712664664641,0.012184367475466421,-0.9425208969641097,96688,7858,7858,51,0.020119167295702307
pre_current_employer_baseline,monthly_fpl,post_year2021,any_coverage,0.011484020964924135,0.005626738570972692,2.0409729046535205,0.010357977614885504,1.1087126649530876,0.012184367475527402,0.9425208972062005,96688,7858,7858,51,0.9798808327042977
pre_current_employer_baseline,monthly_fpl,post_year2021,private,0.029323856359589038,0.007701140383991844,3.8077291021137283,0.014177686076008543,2.0683104564722177,0.018340913878505276,1.598821986398141,96688,7858,7858,51,0.9735827508027373
pre_current_employer_baseline,monthly_fpl,post_year2021,rpritype1_employer,0.03304129730923835,0.01088806913120741,3.034633313866028,0.016673068697778032,1.9817166178678107,0.02113921546560006,1.5630332811076455,96688,7858,7858,51,0.956817061295364
pre_current_employer_baseline,monthly_fpl,post_year2021,source_employer_related,0.03674652768353228,0.011476376088961127,3.2019278035753773,0.016979821676482036,2.1641291872003694,0.023329410131645693,1.5751160220586393,96688,7858,7858,51,0.9551968538378453
pre_current_employer_baseline,monthly_fpl,post_year2021,source_current_employer,-0.01688760833626044,0.019001144745283038,-0.8887679433341892,0.02689864201255692,-0.6278238257669999,0.03993508570411402,-0.4228764766246819,96688,7858,7858,51,0.9407520960652203
pre_current_employer_baseline,monthly_fpl,post_year2021,source_former_employer,0.054014399540440385,0.015226578512532011,3.5473760238378325,0.02145315896675509,2.5177830278582216,0.025238058694128217,2.140196288275023,96688,7858,7858,51,0.011793462623625696
pre_current_employer_baseline,monthly_fpl,post_year2021,source_union,-0.0005265049116593423,0.0034931731633509495,-0.1507239655861417,0.0036239014346034454,-0.14528676377119967,0.0038601968089315287,-0.13639328192830527,96688,7858,7858,51,0.004347148176903224
pre_current_employer_baseline,monthly_fpl,post_year2021,source_bought_direct,-0.005027543045117936,0.007975567086097144,-0.6303680968193287,0.009366756375911887,-0.5367432271482012,0.010438917236372615,-0.4816153755487519,96688,7858,7858,51,0.01833968604166356
pre_current_employer_baseline,monthly_fpl,post_year2021,direct_purchase,-0.008984327024384984,0.01188788542738799,-0.7557548463317435,0.023371176734489102,-0.3844191127580972,0.025428297132418735,-0.3533200425336699,96688,7858,7858,51,0.027647651101903283
pre_current_employer_baseline,monthly_fpl,post_year2021,marketplace_flag,-0.011726476695083128,0.009870463594803508,-1.1880370746979658,0.022585114186803448,-0.5192126370534333,0.02435727152169506,-0.48143638275076656,96688,7858,7858,51,0.019096809211261712
pre_current_employer_baseline,monthly_fpl,post_year2021,subsidized_private,-0.009904071649116603,0.006458105677315128,-1.5335877336144939,0.01236489732453669,-0.8009829268426785,0.010525909613369775,-0.9409231138120997,96688,7858,7858,51,0.010930383989885476
pre_current_employer_baseline,monthly_fpl,post_year2021,market_or_subsidy,-0.009150632332627754,0.011888066619287048,-0.7697325919911893,0.023369768276653775,-0.39155853940448215,0.025406950638955452,-0.3601625579811793,96688,7858,7858,51,0.0277895859597718
pre_current_employer_baseline,monthly_fpl,post_year2021,public,0.007659944694567238,0.010685458638641928,0.7168568943654422,0.02285045601927067,0.3352206489055322,0.02312048858261324,0.33130548548734245,96688,7858,7858,51,0.03353402271021947
pre_current_employer_baseline,monthly_fpl,post_year2021,medicaid,0.002770236096976082,0.010466240378390033,0.2646830186220329,0.022441287718106866,0.12344372264969905,0.022387356520898353,0.12374109888275986,96688,7858,7858,51,0.02404861764367541
lag_nonemployer_months,monthly_fpl,post_year2021,uninsured,-0.04569127120976679,0.017228238875355698,-2.6521150269820275,0.03311027082828633,-1.379972741592087,0.04246440513550242,-1.0759899041083363,71638,9878,9863,52,0.29081806210245975
lag_nonemployer_months,monthly_fpl,post_year2021,any_coverage,0.04569127121076999,0.017228238875355427,2.652115027040299,0.033110270828283606,1.3799727416224994,0.04246440513552629,1.0759899041313559,71638,9878,9863,52,0.7091819378975402
lag_nonemployer_months,monthly_fpl,post_year2021,private,0.01115848719620205,0.0175237053192188,0.6367652841071336,0.03403806471402364,0.3278237846349933,0.03407225209842904,0.3274948531129391,71638,9878,9863,52,0.5291898827423575
lag_nonemployer_months,monthly_fpl,post_year2021,rpritype1_employer,0.011020962453336836,0.009131554025904466,1.2069098449259,0.01518814193442286,0.7256294088455018,0.01754275045409419,0.6282345794165204,71638,9878,9863,52,0.06007288530101251
lag_nonemployer_months,monthly_fpl,post_year2021,source_employer_related,-0.01001118679617835,0.005765072551438056,-1.736523991130195,0.005831013580608627,-1.7168862081664724,0.006590294105800212,-1.5190804288032247,71638,9878,9863,52,0.017151475574869648
lag_nonemployer_months,monthly_fpl,post_year2021,source_current_employer,-0.010599120099568288,0.0057048283975633055,-1.857920933098614,0.005798537231863531,-1.8278954977343393,0.006429911820773728,-1.6484083133651541,71638,9878,9863,52,0.0162739780118177
lag_nonemployer_months,monthly_fpl,post_year2021,source_former_employer,0.0008072507735076119,0.0007651034206777372,1.055087131609659,0.0007686962594373966,1.0501557196316178,0.0008726132868349995,0.9250956703118058,71638,9878,9863,52,0.0006342300059256724
