reference_year,state,rating_areas_age40,rating_areas_age60,slcsp_state_mean_age40,slcsp_state_mean_age60,slcsp_state_median_age40,slcsp_state_median_age60,fpl_single,gross_burden_age60_at400fpl,gross_burden_age40_at400fpl,gross_burden_excess_age60_over_8p5,pre_2021_age60_excess_burden,high_pre_premium_burden
2019,NH,1,1,402.39,854.53,402.39,854.53,12490,0.20525140112089674,0.09665092073658928,0.12025140112089673,0.13378624950850765,0
2019,NJ,1,1,347.97,738.96,347.97,738.96,12490,0.1774923939151321,0.0835796637309848,0.0924923939151321,0.11075049055166004,0
2019,NM,5,5,374.702,795.722,383.61,814.64,12490,0.1911261809447558,0.09000048038430744,0.1061261809447558,0.11301866433730456,0
2019,NV,4,4,533.4375,1132.82,560.9549999999999,1191.255,12490,0.2720944755804644,0.12812750200160128,0.18709447558046438,0.19821435064031453,1
2019,OH,17,17,399.53764705882355,848.4688235294118,374.54,795.39,12490,0.20379555409033112,0.09596580794047004,0.11879555409033112,0.1111336829210811,0
2019,OK,5,5,661.5200000000001,1404.826,664.57,1411.31,12490,0.33742818254603685,0.15889191353082469,0.25242818254603683,0.23841625260318358,1
2019,OR,7,7,442.42857142857144,939.1428571428571,414.0,879.0,12490,0.22557474551069429,0.10626787144000914,0.14057474551069427,0.13668937478984075,0
2019,PA,9,9,452.88,961.7533333333334,437.7,929.52,12490,0.2310056044835869,0.10877822257806244,0.1460056044835869,0.15060255563010158,0
2019,SC,46,46,556.2941304347826,1181.361956521739,551.07,1170.27,12490,0.28375387266334806,0.13361748529258188,0.19875387266334804,0.18476105163007142,1
2019,SD,4,4,531.0225,1127.7024999999999,503.98,1070.275,12490,0.270865292233787,0.1275474379503603,0.185865292233787,0.18652694154853924,1
2019,TN,8,8,589.46,1251.79875,519.855,1103.98,12490,0.30067223779023217,0.14158366693354685,0.21567223779023215,0.23893967106594438,1
2019,TX,26,26,489.47769230769234,1039.4676923076922,506.025,1074.605,12490,0.2496719837408388,0.11756870111473794,0.1646719837408388,0.16144879916698981,0
2019,UT,6,6,581.6899999999999,1179.875,578.535,1173.475,12490,0.2833967173738991,0.13971737389911928,0.19839671737389908,0.19236762729021772,1
2019,VA,12,12,594.4308333333333,1262.3516666666667,597.4000000000001,1268.65,12490,0.30320696557245796,0.14277762209767814,0.21820696557245794,0.205593148274815,1
2019,WI,16,16,529.89625,1125.3025,561.865,1193.185,12490,0.2702888310648519,0.12727692153722978,0.1852888310648519,0.18010641330391422,0
2019,WV,11,11,584.2727272727273,1240.7772727272727,586.87,1246.3,12490,0.29802496542688695,0.14033772472523473,0.21302496542688693,0.20973733067750447,1
2019,WY,3,3,847.3933333333334,1799.5433333333333,873.2,1854.35,12490,0.43223618895116095,0.20353722978382707,0.34723618895116093,0.35125787223799687,1
2020,AK,3,3,722.0,1532.6666666666667,726.0,1541.0,15950,0.2882758620689655,0.13579937304075235,0.20327586206896547,0.21000617989373607,1
