download_priority_order,country,wave,idno,source_relative_path,source_file_name,source_suffix,source_bytes,target_relative_path,target_exists_before,target_bytes_before,file_staging_action,copy_error,data_write_gate_status,modeling_gate_status
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect10a_harvestw2.dta,sect10a_harvestw2.dta,.dta,1999014,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect10a_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect10b_harvestw2.dta,sect10b_harvestw2.dta,.dta,46541042,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect10b_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect10c_harvestw2.dta,sect10c_harvestw2.dta,.dta,2280953,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect10c_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect10ca_harvestw2.dta,sect10ca_harvestw2.dta,.dta,77760,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect10ca_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect10cb_harvestw2.dta,sect10cb_harvestw2.dta,.dta,239902,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect10cb_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect11a_harvestw2.dta,sect11a_harvestw2.dta,.dta,954807,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect11a_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect11b_harvestw2.dta,sect11b_harvestw2.dta,.dta,6822120,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect11b_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect11c_harvestw2.dta,sect11c_harvestw2.dta,.dta,7056865,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect11c_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect11d_harvestw2.dta,sect11d_harvestw2.dta,.dta,4005812,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect11d_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect11e_harvestw2.dta,sect11e_harvestw2.dta,.dta,485593,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect11e_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect12_harvestw2.dta,sect12_harvestw2.dta,.dta,295999,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect12_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect13_harvestw2.dta,sect13_harvestw2.dta,.dta,372422,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect13_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect14_harvestw2.dta,sect14_harvestw2.dta,.dta,4065491,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect14_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect15a_harvestw2.dta,sect15a_harvestw2.dta,.dta,8240927,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect15a_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect15b1_harvestw2.dta,sect15b1_harvestw2.dta,.dta,77760,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect15b1_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect15b2_harvestw2.dta,sect15b2_harvestw2.dta,.dta,30885,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect15b2_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
4,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,sect1_harvestw2.dta,sect1_harvestw2.dta,.dta,6532822,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/sect1_harvestw2.dta,0,0,copied,,blocked_no_data_write,blocked
